name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude,nonprofit
49 Degrees North,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,84.0,3924,5774,1850,42.0,Washington,2325,301,CMR Lands,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,7,No,48.3013648092357,-117.562926562625,No
Abenaki,https://www.skiresort.info/ski-resort/abenaki/,20.0,591,820,230,1.0,New Hampshire,18,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,43.6093782653616,-71.2299884117107,No
Adventure Mountain,https://www.skiresort.info/ski-resort/adventure-mountain-greenland/,7.0,1237,1362,125,0.2,Michigan,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,46.7724464400728,-89.0902901496086,No
Afton Alps,https://www.skiresort.info/ski-resort/afton-alps/,89.0,919,1270,351,5.0,Minnesota,300,60,Vail Resorts,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,0,2,2,19,No,44.8576205018608,-92.788473835517,No
Alpine Valley (Michigan),https://www.skiresort.info/ski-resort/alpine-valley-white-lake/,61.0,961,1211,249,4.0,Michigan,100,20,Wisconsin Resorts,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,2,2,9,No,42.6536253997723,-83.523108876399,No
Alpine Valley (Ohio),https://www.skiresort.info/ski-resort/alpine-valley-ohio/,59.0,1115,1329,213,2.0,Ohio,72,120,Vail Resorts,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,5,No,41.5268343596115,-81.2600027141888,No
Alpine Valley (Wisconsin),https://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,78.0,1017,1362,344,2.0,Wisconsin,90,80,Wisconsin Resorts,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,2,6,15,No,42.7356907071581,-88.4283824972845,No
Alta,https://www.skiresort.info/ski-resort/alta/,199.0,8530,10499,1969,44.0,Utah,2614,540,Independent,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,2,11,No,40.579942027823,-111.619986768103,No
Alta Sierra,https://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,75.0,6686,7087,400,1.0,California,80,80,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No,35.71129003695,-118.560117456341,No
Alyeska,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,169.0,269,2756,2487,39.0,Alaska,1610,650,Independent,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,6,No,60.9703423974469,-149.097432276847,No
Andes Tower Hills,https://www.skiresort.info/ski-resort/andes-tower-hills/,60.0,1329,1621,292,2.0,Minnesota,35,55,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,6,No,45.850690999254,-95.6312052063786,No
Angel Fire,https://www.skiresort.info/ski-resort/angel-fire/,125.0,8599,10676,2077,47.0,New Mexico,560,210,Independent,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,8,No,36.3865151311332,-105.272091015304,No
Antelope Butte,https://www.skiresort.info/ski-resort/antelope-butte/,69.0,8399,9400,1001,13.0,Wyoming,225,200,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,No,44.6115668434155,-107.514621362812,Yes
Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,50.0,7100,7999,899,6.0,Oregon,1100,300,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,No,44.9628890567817,-118.233556922865,No
Appalachian Ski Mountain,https://www.skiresort.info/ski-resort/appalachian-ski-mountain/,79.0,3632,3999,367,3.0,North Carolina,27,27,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,6,No,36.1743348914397,-81.6625247152887,No
Arapahoe Basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,189.0,10781,12434,1654,32.0,Colorado,1428,350,Alterra,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,1,2,9,No,39.6340336078039,-105.870415777636,No
Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,55.0,2500,3898,1398,16.0,Alaska,320,250,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,No,61.2466015908083,-149.532587690714,Yes
Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,127.0,9199,11499,2300,23.0,Arizona,777,260,Mountain Capital Partners,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,2,8,No,35.3304395329149,-111.705536396305,No
Ascutney Mountain,https://www.skiresort.info/ski-resort/ascutney-mountain/,20.0,719,2520,1801,1.0,Vermont,26,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,43.4625511141721,-72.4672947870429,No
Aspen Highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,264.0,8041,11677,3635,84.0,Colorado,1010,300,Aspen Skiing Company,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,6,No,39.1813983732029,-106.856105524982,No
Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,264.0,7946,11214,3268,64.0,Colorado,826,300,Aspen Skiing Company,0,1,0,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,8,No,39.1842152867587,-106.821690810338,No
Attitash Mountain Resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,144.0,600,2349,1749,23.0,New Hampshire,311,120,Vail Resorts,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,8,No,44.0826692333144,-71.2294189159093,No
Ausblick Ski Club,https://www.skiresort.info/ski-resort/ausblick-sussex/,30.0,968,1148,180,1.0,Wisconsin,10,,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,No,43.1345002931069,-88.264657223581,No
Badger Mountain,https://www.skiresort.info/ski-resort/badger-mountain/,10.0,2999,3484,486,1.0,Washington,10,120,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes,47.6126974760702,-120.129741684916,Yes
Badger Pass,https://www.skiresort.info/ski-resort/badger-pass/,69.0,7201,8005,804,6.0,California,90,300,Independent,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,No,37.662217217046,-119.66368957656,Yes
Bald Mountain,https://www.skiresort.info/ski-resort/bald-mountain/,25.0,3999,4800,801,6.0,Idaho,140,100,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,46.570582678996,-115.869627147372,No
Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,85.0,591,1099,509,6.0,Pennsylvania,86,30,Independent,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,5,No,40.4766121333448,-75.6257066495122,No
Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,4199,5279,1079,6.0,Montana,80,140,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,48.1643835073863,-109.670176989619,No
Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,169.0,6598,8497,1900,42.0,California,1680,359,Independent,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,0,0,2,9,No,38.4924084257156,-120.04436535711,No
Beartooth Basin,https://www.skiresort.info/ski-resort/beartooth-basin/,50.0,9898,10899,1001,3.0,Wyoming,600,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Yes,44.9760407102785,-109.435232900875,No
Beartown,https://www.skiresort.info/ski-resort/beartown/,24.0,863,997,135,0.5,New York,32,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,Yes,44.763714789627,-73.5842494720497,Yes
Beaver Creek,https://www.skiresort.info/ski-resort/beaver-creek/,329.0,7398,11444,4045,93.0,Colorado,2082,325,Vail Resorts,0,2,0,0,0,0,1,12,1,1,0,1,0,0,0,0,0,7,25,No,39.601397968372,-106.528719291705,No
Beaver Mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,70.0,7201,8858,1657,19.0,Utah,880,400,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,6,No,41.9679154294829,-111.540667860691,No
Beech Mountain,https://www.skiresort.info/ski-resort/beech-mountain/,79.0,4672,5505,833,9.0,North Carolina,95,84,Independent,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,2,9,No,36.1946449807837,-81.8782671370259,No
Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,114.0,2024,3428,1404,12.0,New York,171,141,New York State,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,9,No,42.1409475000713,-74.5020555965859,Yes
Berkshire East,https://www.skiresort.info/ski-resort/berkshire-east/,99.0,659,1841,1181,8.0,Massachusetts,180,120,The Schaefer Family,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,6,No,42.6208879427655,-72.8768560536622,No
Big Bear at Masthope Mountain,https://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,78.0,722,1286,564,4.0,Pennsylvania,26,50,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,7,No,41.5237095917575,-75.024579805837,No
Big Bear: Bear Mountain,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,169.0,7139,8806,1667,17.0,California,198,100,Alterra,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,4,11,No,34.2279780828159,-116.86089636389,No
Big Bear: Snow Summit,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,169.0,6988,8202,1214,18.0,California,240,100,Alterra,0,0,0,0,0,0,0,2,2,2,0,4,0,0,0,0,0,5,15,No,34.2358206937449,-116.889253309291,No
Big Bear: Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,169.0,6726,7841,1115,21.0,California,240,160,Alterra,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,2,11,No,34.2245705198959,-117.035519019636,No
Big Boulder,https://www.skiresort.info/ski-resort/big-boulder/,105.0,1699,2175,476,3.0,Pennsylvania,55,50,Vail Resorts,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,5,No,41.0497914194315,-75.6006871876771,No
Big Moose,https://www.skiresort.info/ski-resort/big-squaw/,40.0,1325,1896,571,5.0,Maine,,136,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,No,45.5064963517218,-69.7018982148919,No
Big Powderhorn Mountain,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,89.0,1148,1772,623,6.0,Michigan,253,214,Independent,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,10,No,46.5090445551297,-90.0946769349822,No
Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,275.0,6801,11165,4364,155.0,Montana,5800,400,Boyne Resorts,1,2,0,0,2,2,0,4,3,9,0,4,0,0,0,3,1,8,39,No,45.2850349517533,-111.402136915504,No
BigRock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,60.0,656,1634,978,12.0,Maine,90,100,Independent,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,4,No,46.5219754018494,-67.8287422553209,No
Bittersweet,https://www.skiresort.info/ski-resort/bittersweet/,72.0,715,1063,348,4.0,Michigan,100,90,Wisconsin Resorts,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,2,3,11,No,42.4667711702261,-85.757892883055,No
Black Mountain – Jackson,https://www.skiresort.info/ski-resort/black-mountain-jackson/,99.0,1234,2247,1014,7.0,New Hampshire,143,125,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,No,44.1666742645383,-71.1643961519989,No
Black Mountain – Rumford,https://www.skiresort.info/ski-resort/black-mountain-rumford/,60.0,1001,2100,1099,9.0,Maine,300,120,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4,No,44.5768679486146,-70.6134405916493,No
Blacktail Mountain,https://www.skiresort.info/ski-resort/blacktail-mountain/,80.0,5338,6778,1440,11.0,Montana,1000,250,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No,48.0149080958699,-114.369770983142,No
Blue Hills,https://www.skiresort.info/ski-resort/blue-hills/,75.0,262,591,328,2.0,Massachusetts,60,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,No,42.2155158957154,-71.1190765610771,No
Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,90.0,2080,3150,1070,10.0,Pennsylvania,100,120,Independent,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,5,No,40.288527305399,-78.5630545423995,No
Blue Mountain,https://www.skiresort.info/ski-resort/blue-mountain/,99.0,459,1542,1083,11.0,Pennsylvania,164,33,Independent,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,7,12,No,40.8106478458437,-75.5206597973621,No
Bluewood,https://www.skiresort.info/ski-resort/bluewood/,65.0,4544,5669,1125,7.0,Washington,355,300,Independent,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,No,46.0822970103602,-117.850866940001,No
Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,79.0,5797,7582,1785,31.0,Idaho,2600,250,Independent,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,3,10,No,43.7644278050647,-116.101973121779,Yes
Bolton Valley,https://www.skiresort.info/ski-resort/bolton-valley/,119.0,1447,3150,1703,19.0,Vermont,300,300,Independent,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,6,No,44.420850797586,-72.8508535743811,No
Boreal,https://www.skiresort.info/ski-resort/boreal/,119.0,7201,7733,531,12.0,California,380,400,Powdr,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,8,No,39.3357225439072,-120.350519961207,No
Boston Mills,https://www.skiresort.info/ski-resort/boston-mills/,88.0,656,886,230,1.0,Ohio,40,54,Vail Resorts,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,7,No,41.2650773714258,-81.564551864819,No
Bottineau Winter Park,https://www.skiresort.info/ski-resort/bottineau-winter-park/,45.0,2274,2448,174,1.0,North Dakota,40,18,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,6,No,48.9506456513199,-100.474577093826,No
Bousquet,https://www.skiresort.info/ski-resort/bousquet/,80.0,1109,1857,748,5.0,Massachusetts,200,83,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No,42.4190828508367,-73.2771992181888,No
Boyce Park,https://www.skiresort.info/ski-resort/boyce-park/,25.0,1115,1247,131,1.0,Pennsylvania,25,36,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,40.4613808841664,-79.7471179674883,Yes
Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,110.0,620,1119,499,9.0,Michigan,435,140,Boyne Resorts,0,0,0,0,1,1,0,0,4,1,0,2,0,0,0,0,0,1,10,No,45.1626107136863,-84.9303885165529,No
Bradford,https://www.skiresort.info/ski-resort/bradford/,69.0,33,262,230,2.0,Massachusetts,48,,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,3,10,No,42.7444830187125,-71.0559975935861,No
Brandywine,https://www.skiresort.info/ski-resort/brandywine/,88.0,623,886,262,1.0,Ohio,40,54,Vail Resorts,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,7,No,41.2841089989265,-81.5520691820093,No
Brantling,https://www.skiresort.info/ski-resort/brantling/,34.0,459,689,230,1.0,New York,36,100,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Yes,43.1493980673562,-77.065462440144,No
Breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,299.0,9600,12841,3241,95.0,Colorado,2908,353,Vail Resorts,0,1,0,0,0,5,0,8,1,1,0,4,0,1,0,3,0,11,35,No,39.4803469507199,-106.06576639861,No
Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,129.0,1601,3100,1499,35.0,New Hampshire,464,200,Independent,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,2,9,No,44.2592312355739,-71.4606135125541,No
Brian Head,https://www.skiresort.info/ski-resort/brian-head/,97.0,9600,10919,1319,28.0,Utah,650,360,Mountain Capital Partners,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,2,10,No,37.7020031192772,-112.849999461276,No
Bridger Bowl,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,97.0,6102,8799,2697,44.0,Montana,2000,300,Independent,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,1,0,2,11,No,45.8170869826085,-110.896564759054,Yes
Brighton,https://www.skiresort.info/ski-resort/brighton/,159.0,8750,10627,1877,41.0,Utah,1050,500,Boyne Resorts,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,2,8,No,40.5983453073401,-111.583744867119,No
Bristol Mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,90.0,997,2198,1201,12.0,New York,138,130,Independent,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,7,No,42.7450030256251,-77.4046326684485,No
Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,96.0,1949,3284,1335,28.0,Vermont,178,145,Independent,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,2,9,No,43.2136153886941,-72.9350896745236,No
Bruce Mound,https://www.skiresort.info/ski-resort/bruce-mound/,27.0,984,1312,328,3.0,Wisconsin,40,45,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,6,No,44.4461971176846,-90.7855479437797,No
Brundage Mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,125.0,5840,7638,1798,19.0,Idaho,1920,320,Independent,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,6,No,45.004595879371,-116.154873443202,No
Bryce Resort,https://www.skiresort.info/ski-resort/bryce-resort/,80.0,1247,1749,502,3.0,Virginia,50,30,Independent,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,No,38.8170206847087,-78.7664647797194,No
Buck Hill,https://www.skiresort.info/ski-resort/buck-hill-ski-area/,59.0,951,1217,266,1.0,Minnesota,45,60,Independent,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,2,9,No,44.7245161906983,-93.2838130781488,No
Buena Vista,https://www.skiresort.info/ski-resort/buena-vista/,52.0,1312,1542,230,2.0,Minnesota,30,78,Independent,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,5,No,47.6575801557123,-94.8794756314242,No
Buffalo Ski Center,https://www.skiresort.info/ski-resort/buffalo/,57.0,1007,1483,476,7.0,New York,300,,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,6,No,42.6817834596537,-78.6912460695517,No
Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,89.0,1217,3199,1982,6.0,Vermont,178,217,Independent,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,5,No,44.5875679421193,-71.9162141707593,No
Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,264.0,7871,9902,2031,21.0,Colorado,435,200,Aspen Skiing Company,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,6,No,39.2047973615625,-106.859022975074,No
Butternut,https://www.skiresort.info/ski-resort/butternut/,85.0,820,1772,951,14.0,Massachusetts,110,110,Independent,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,9,No,42.1828719137424,-73.3200574015584,No
Caberfae Peaks,https://www.skiresort.info/ski-resort/caberfae-peaks/,79.0,1171,1532,361,7.0,Michigan,200,140,Independent,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,5,No,44.2445781127255,-85.720540316803,No
Camden Snow Bowl,https://www.skiresort.info/ski-resort/camden-snow-bowl/,52.0,236,1083,846,4.0,Maine,100,50,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No,44.2166095605337,-69.1345024591333,Yes
Camelback,https://www.skiresort.info/ski-resort/camelback/,99.0,1247,2044,797,21.0,Pennsylvania,160,50,Independent,0,0,0,0,0,1,0,1,1,3,0,3,0,0,0,0,0,4,13,No,41.0511315901175,-75.3481292219498,No
Camp 10,https://www.skiresort.info/ski-resort/camp-10/,52.0,1509,1739,230,2.0,Wisconsin,120,60,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,4,No,45.5500994946087,-89.5038307965984,No
Campgaw Mountain,https://www.skiresort.info/ski-resort/campgaw-mountain/,65.0,469,712,243,1.0,New Jersey,23,45,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,No,41.0589197289547,-74.1951353648283,No
Campton Mountain,https://www.skiresort.info/ski-resort/campton-mountain/,40.0,1188,1427,240,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,43.868154757864,-71.6097074395595,No
